S2801_C02_011E,county,S2801_C02_012E,state,S2501_C02_001E,S1901_C01_001E,S1501_C02_015E,S2301_C03_001E,S0101_C01_001E,cluster
13.9,21,78.2,19,7561,7561,20.1,68.0,20369,1
14.8,95,73.0,19,6766,6766,20.2,67.0,16231,1
15.6,99,74.6,19,14533,14533,18.1,59.1,36789,-1
16.3,141,72.4,19,6101,6101,19.8,66.9,13944,1
14.7,11,74.6,19,10187,10187,22.0,65.4,25646,1
21.0,23,72.0,19,6278,6278,16.9,63.3,14822,1
12.5,61,80.2,19,38076,38076,30.0,66.1,96571,1
16.0,193,72.8,19,38962,38962,22.4,65.6,102397,-1
14.4,13,78.3,19,52811,52811,27.5,64.2,132960,-1
16.2,145,74.5,19,6405,6405,20.6,56.6,15393,-1
16.1,191,76.7,19,8123,8123,28.8,69.5,20575,-1
15.4,75,78.3,19,5155,5155,26.3,64.4,12354,1
21.0,97,72.6,19,8395,8395,18.6,61.8,19409,-1
14.9,157,74.5,19,7571,7571,22.7,63.2,18428,1
15.3,155,75.3,19,36926,36926,21.2,63.6,93287,-1
18.2,105,72.7,19,8264,8264,17.2,58.5,20468,1
18.6,111,71.6,19,14204,14204,15.7,57.0,34785,-1
18.2,125,70.4,20,13619,13619,18.7,55.3,33463,-1
17.2,65,76.0,20,1239,1239,27.4,57.0,2561,-1
19.7,27,70.8,20,3406,3406,23.9,63.0,8203,-1
16.4,59,68.4,20,9897,9897,20.3,63.8,25599,-1
16.9,79,76.4,20,13355,13355,30.0,62.8,34683,-1
15.9,37,72.8,20,14974,14974,28.9,58.5,39099,-1
17.9,41,72.9,20,7781,7781,20.8,58.0,19162,-1
14.9,87,75.4,20,7681,7681,21.2,61.8,18856,1
17.4,141,71.7,20,1713,1713,22.3,59.0,3684,-1
20.4,5,70.2,20,5967,5967,20.7,59.3,16466,-1
11.9,51,80.4,20,11647,11647,35.6,68.2,28877,1
24.0,73,63.6,20,2772,2772,18.9,54.4,6227,-1
17.6,99,71.3,20,8098,8098,17.6,58.9,20553,-1
23.2,11,64.2,20,5622,5622,19.1,56.3,14757,-1
13.6,55,77.0,20,12648,12648,17.3,69.7,37097,-1
15.2,75,73.3,20,864,864,17.8,66.8,2621,1
19.0,97,67.4,20,1004,1004,27.6,62.5,2524,-1
9.7,103,80.5,20,27233,27233,31.0,55.5,79359,-1
5.5,91,90.5,20,224248,224248,54.6,69.5,578797,-1
15.9,127,77.5,20,2325,2325,18.1,60.3,5605,1
19.2,151,70.9,20,3742,3742,26.4,61.4,9670,-1
16.8,153,76.4,20,1170,1170,26.7,59.5,2520,-1
16.8,163,73.8,20,2144,2144,25.7,60.5,5148,-1
6.4,45,85.5,20,44945,44945,50.0,65.9,117806,1
14.7,179,76.6,20,1144,1144,24.6,62.7,2497,1
12.2,121,73.1,20,12771,12771,25.9,63.3,32976,-1
23.0,3,65.9,20,3206,3206,18.6,57.8,7840,-1
11.4,69,73.3,20,2141,2141,21.0,69.7,6004,-1
22.1,199,71.5,20,594,594,26.4,64.1,1591,-1
24.0,17,69.0,20,1095,1095,25.1,54.1,2665,-1
14.6,63,76.1,20,1193,1193,23.1,61.4,2632,1
15.1,81,74.8,20,1330,1330,17.6,64.4,4081,1
12.9,101,76.4,20,828,828,23.9,64.2,1702,1
19.1,165,68.7,20,1432,1432,23.1,59.1,3119,-1
9.2,171,85.9,20,2105,2105,26.7,65.8,4981,1
19.3,115,69.5,20,4857,4857,23.9,58.1,12087,-1
23.6,107,56.5,20,4433,4433,14.1,53.5,9602,0
14.7,173,76.9,20,195072,195072,30.7,62.7,510484,-1
15.2,177,73.4,20,71601,71601,30.4,60.2,178392,-1
13.9,181,83.1,20,2729,2729,18.2,61.1,5999,-1
16.8,187,63.4,20,798,798,22.6,65.0,2107,-1
17.9,175,73.1,20,7573,7573,12.1,65.7,22948,-1
24.7,157,64.5,20,2307,2307,23.3,61.2,4705,-1
22.5,25,62.5,20,912,912,33.1,63.1,2089,-1
17.0,53,73.4,20,2500,2500,20.3,51.2,6331,-1
9.6,61,83.7,20,12923,12923,21.4,45.4,35796,-1
17.8,77,70.7,20,2357,2357,17.5,57.8,5746,-1
16.6,57,71.6,20,11339,11339,18.3,66.3,34658,-1
10.0,189,70.6,20,1958,1958,16.2,61.8,5741,-1
22.7,201,65.8,20,2339,2339,19.1,62.5,5572,1
14.5,203,70.7,20,890,890,20.3,66.2,2157,-1
24.4,19,64.5,20,1432,1432,16.6,52.8,3425,0
20.5,183,74.3,20,1662,1662,20.1,56.3,3693,-1
13.0,67,78.3,20,2628,2628,16.2,65.7,7716,1
23.0,133,65.9,20,6521,6521,19.4,58.9,16209,-1
18.7,105,70.8,20,1275,1275,19.9,59.6,3121,-1
15.9,169,75.1,20,22294,22294,25.0,63.6,55334,-1
14.2,83,73.5,20,786,786,24.4,64.6,1875,1
24.1,89,65.6,20,1388,1388,15.9,53.8,2963,0
19.8,143,68.2,20,2437,2437,22.2,62.9,5957,-1
15.1,147,77.2,20,2326,2326,21.5,63.9,5446,1
18.0,85,74.5,20,5296,5296,19.9,60.8,13322,1
13.9,93,70.6,20,1242,1242,13.4,62.2,3931,-1
18.3,13,73.0,20,3993,3993,21.2,61.4,9736,1
17.9,191,71.5,20,9188,9188,20.9,59.1,23336,-1
18.0,159,75.2,20,3932,3932,22.5,60.7,9868,-1
16.9,185,68.6,20,1804,1804,22.6,61.2,4251,-1
6.5,161,84.7,20,26686,26686,45.5,55.7,75696,-1
9.4,195,83.2,20,1389,1389,23.3,71.7,2899,-1
21.3,167,74.4,20,3161,3161,24.2,59.3,6987,-1
12.7,111,77.9,20,13552,13552,27.1,65.4,33302,1
18.6,117,70.3,20,4209,4209,18.6,62.7,9859,1
19.9,129,69.6,20,1115,1115,13.1,55.3,2931,-1
23.6,137,71.3,20,1906,1906,16.1,55.4,5527,-1
16.4,155,74.5,20,25015,25015,20.0,58.9,63360,-1
16.7,95,70.4,20,3148,3148,23.3,60.1,7576,-1
15.4,109,77.0,20,1168,1168,19.1,62.8,2790,1
19.2,145,72.7,20,2590,2590,18.2,49.1,6776,-1
17.9,197,74.6,20,2732,2732,22.7,62.2,6918,1
24.9,205,61.9,20,3873,3873,15.5,60.1,8858,-1
11.8,113,78.7,20,12077,12077,28.6,66.3,28792,1
18.7,139,71.5,20,6604,6604,20.7,58.2,15894,-1
15.1,7,70.7,20,1967,1967,19.9,62.6,4905,-1
18.3,39,74.5,20,1439,1439,21.9,57.4,2891,-1
26.7,207,61.4,20,1523,1523,13.7,58.1,3178,0
17.3,123,74.0,20,2725,2725,24.1,56.8,6230,-1
7.4,193,86.5,20,3259,3259,26.5,70.0,7847,1
17.0,119,74.6,20,1674,1674,20.7,62.6,4295,1
16.5,9,71.6,20,11288,11288,16.9,63.9,27067,-1
17.1,131,72.0,20,4123,4123,23.7,66.0,10095,-1
10.8,149,80.2,20,8510,8510,33.5,63.1,23188,1
20.6,1,70.4,20,5325,5325,19.2,59.2,12752,-1
19.6,23,73.7,20,1248,1248,25.8,57.5,2677,-1
14.7,33,73.1,20,726,726,18.5,64.8,1741,1
16.3,35,71.0,20,13688,13688,20.3,55.3,35732,-1
18.6,29,68.6,20,3896,3896,21.2,63.3,9191,-1
22.5,43,63.3,20,3065,3065,17.0,58.3,7790,-1
18.1,47,64.7,20,1273,1273,18.8,61.5,2946,-1
17.2,209,68.2,20,59355,59355,16.7,60.0,163227,-1
19.4,21,67.3,20,7980,7980,19.0,54.1,20501,-1
12.8,15,79.5,20,24358,24358,29.3,61.2,66260,1
22.8,49,66.4,20,1158,1158,15.8,48.3,2581,0
21.1,135,70.5,20,1327,1327,19.0,59.8,3001,-1
16.4,71,77.1,20,494,494,30.3,58.4,1210,-1
13.9,31,76.9,20,3592,3592,20.9,61.1,8328,1
20.3,39,67.2,21,1988,1988,15.5,50.5,4890,-1
23.6,41,57.5,21,3962,3962,11.8,54.2,10695,0
34.8,53,58.5,21,4025,4025,10.1,46.4,10208,0
27.6,65,60.3,21,5638,5638,9.9,42.8,14382,0
23.8,77,60.1,21,3007,3007,11.9,55.3,8652,0
19.1,79,71.9,21,6925,6925,15.7,53.2,17226,-1
15.4,89,75.1,21,14089,14089,17.2,46.9,36012,-1
21.7,167,71.7,21,8645,8645,17.0,56.2,21378,-1
20.9,191,65.8,21,5236,5236,12.4,55.2,14530,-1
36.2,201,42.6,21,938,938,17.2,49.2,2161,0
29.5,207,62.1,21,7204,7204,13.4,44.4,17731,0
10.7,215,83.7,21,6678,6678,19.8,62.7,18012,-1
23.0,229,64.7,21,4507,4507,17.7,59.4,11999,1
23.8,11,66.9,21,4509,4509,11.7,47.3,12189,0
21.2,7,71.1,21,3225,3225,14.1,52.1,8152,-1
19.8,9,74.0,21,16927,16927,16.2,53.4,43418,-1
18.2,21,72.8,21,10875,10875,23.0,50.7,29773,-1
27.8,87,62.5,21,4467,4467,11.0,51.2,11044,0
19.1,91,74.8,21,3375,3375,11.1,53.7,8700,-1
31.2,95,58.4,21,11249,11249,11.4,34.5,27548,0
28.5,159,65.0,21,4316,4316,8.2,30.6,12175,0
12.0,93,78.1,21,41051,41051,23.5,56.7,107699,-1
26.6,137,62.4,21,9786,9786,10.8,49.1,24413,0
19.1,149,68.4,21,3826,3826,10.8,52.3,9361,-1
28.5,171,63.4,21,4376,4376,14.8,50.5,10645,0
23.4,183,66.3,21,9055,9055,11.0,49.1,24062,0
29.3,197,57.0,21,4878,4878,13.4,47.6,12349,0
20.6,225,69.4,21,5527,5527,11.3,53.4,14915,-1
23.8,233,61.1,21,5095,5095,9.0,48.6,13180,0
21.9,33,65.2,21,5309,5309,16.5,52.0,12747,0
14.0,35,74.0,21,14757,14757,28.8,53.6,38616,-1
27.2,45,63.5,21,6398,6398,12.4,45.5,15805,0
19.4,47,69.0,21,25275,25275,16.8,44.6,72438,-1
18.2,173,68.0,21,10404,10404,17.0,52.2,27550,-1
15.9,59,76.1,21,39531,39531,21.6,57.7,99258,-1
20.0,85,63.6,21,9594,9594,9.9,51.0,26129,-1
18.1,101,71.7,21,18719,18719,16.8,57.0,46252,-1
19.9,103,65.4,21,6104,6104,10.9,57.5,15677,-1
22.9,107,68.9,21,18546,18546,15.7,51.7,45985,-1
27.5,109,59.1,21,5435,5435,10.5,39.4,13369,0
21.7,125,71.4,21,22976,22976,13.0,47.4,59901,-1
14.8,157,77.5,21,13117,13117,17.5,51.1,31177,-1
13.5,163,81.2,21,10785,10785,17.4,52.8,28452,-1
28.6,181,60.6,21,2760,2760,10.4,51.3,7061,0
5.6,185,89.1,21,20465,20465,40.4,61.4,64633,-1
27.1,187,55.8,21,3944,3944,9.6,47.0,10686,0
25.0,203,64.4,21,6552,6552,11.9,46.3,16815,0
9.6,209,81.6,21,19706,19706,28.1,66.5,52322,1
12.5,227,79.3,21,46443,46443,30.4,60.9,123824,-1
23.3,3,62.9,21,7705,7705,14.4,51.8,20628,0
19.7,17,65.4,21,8116,8116,19.0,58.3,20017,-1
14.0,19,76.3,21,19119,19119,19.4,46.4,48486,-1
12.3,29,80.3,21,29014,29014,13.9,61.0,78622,-1
26.7,55,62.2,21,3711,3711,13.3,50.5,9154,0
9.4,67,82.0,21,127336,127336,41.8,63.6,315109,1
26.4,75,58.3,21,2463,2463,14.9,44.5,6259,0
22.5,115,70.1,21,8771,8771,15.1,37.5,23064,-1
26.5,119,62.7,21,6158,6158,12.9,36.8,15690,0
27.9,165,65.0,21,2537,2537,11.4,48.1,6381,0
28.2,175,66.7,21,4937,4937,12.2,32.9,13281,0
25.6,177,65.7,21,11416,11416,11.3,45.2,31153,0
24.1,193,69.9,21,11037,11037,12.6,40.1,27329,-1
23.9,199,65.9,21,25810,25810,15.2,48.6,63974,-1
36.0,237,55.9,21,2853,2853,7.8,33.0,7251,0
26.6,51,68.4,21,7719,7719,9.5,34.2,20866,-1
26.3,1,65.0,21,7101,7101,15.8,50.2,19304,0
33.6,13,57.3,21,11063,11063,9.3,33.9,27469,0
32.5,25,57.6,21,5342,5342,12.6,36.8,13276,0
28.9,57,64.0,21,2709,2709,13.2,43.6,6744,0
22.8,83,67.4,21,14299,14299,16.2,53.7,37259,-1
27.6,99,65.8,21,7346,7346,12.6,49.3,18531,0
36.6,129,51.1,21,2843,2843,8.9,31.0,6717,0
28.1,31,63.9,21,5060,5060,11.7,50.7,12735,0
26.1,155,63.7,21,7365,7365,13.0,52.2,19335,0
23.1,221,68.3,21,5982,5982,16.9,49.4,14286,-1
10.5,239,81.8,21,10063,10063,32.8,63.5,25817,1
7.5,15,87.9,21,46095,46095,31.5,66.2,127682,1
31.6,131,59.6,21,4292,4292,8.9,32.3,10648,0
11.1,113,80.2,21,18537,18537,30.0,59.0,51667,1
38.8,121,48.7,21,12264,12264,10.0,37.6,31424,0
25.5,127,66.1,21,6254,6254,11.6,40.3,15844,0
14.4,223,65.5,21,3603,3603,11.8,54.9,8697,-1
21.3,61,73.9,21,4880,4880,11.1,46.2,12063,-1
26.7,97,60.7,21,7107,7107,15.4,53.0,18630,0
32.0,105,56.2,21,1877,1877,9.3,42.9,4625,0
22.4,23,65.0,21,3427,3427,14.0,53.8,8330,0
23.5,143,66.1,21,3376,3376,14.0,39.1,8268,0
15.6,179,75.7,21,17324,17324,17.5,60.4,45131,1
35.6,231,58.0,21,8011,8011,11.4,42.1,20692,0
29.5,135,62.0,21,5496,5496,12.1,41.6,13565,0
23.9,133,65.4,21,10065,10065,11.7,37.7,23011,0
25.2,139,62.2,21,4016,4016,8.9,53.1,9288,0
19.7,145,71.9,21,27557,27557,24.2,54.7,65285,-1
21.7,195,68.2,21,25853,25853,13.0,40.2,61586,-1
13.8,211,76.4,21,16369,16369,24.3,62.2,45831,1
29.6,235,59.8,21,12583,12583,19.9,45.2,36027,-1
14.7,5,70.9,21,8613,8613,20.0,59.8,22017,-1
25.6,27,65.2,21,7467,7467,9.9,48.7,19991,0
23.6,71,66.2,21,15108,15108,12.6,36.7,37447,0
13.7,73,77.1,21,20786,20786,28.4,58.2,49969,-1
11.5,117,81.3,21,62929,62929,29.7,64.2,163987,1
41.6,147,45.8,21,6332,6332,7.6,31.4,17748,0
12.3,151,75.8,21,33036,33036,30.3,58.0,88376,-1
29.0,153,65.6,21,5057,5057,10.1,36.6,12783,0
21.9,169,69.8,21,3940,3940,12.1,48.9,9990,0
30.7,189,60.8,21,1696,1696,15.7,33.6,4497,0
15.8,205,77.0,21,8774,8774,26.7,49.8,24392,-1
25.8,213,65.2,21,6895,6895,15.1,56.4,17881,-1
22.9,217,70.9,21,9669,9669,18.8,51.2,25406,-1
15.4,49,72.1,21,14216,14216,21.7,55.6,35757,-1
31.6,219,54.1,21,4610,4610,12.6,50.6,12377,0
25.7,69,69.0,21,5849,5849,13.4,51.6,14515,-1
12.3,37,79.5,21,35870,35870,31.9,61.9,91804,1
25.0,43,64.3,21,10460,10460,14.0,43.4,27385,0
32.9,63,58.7,21,2635,2635,7.5,28.2,7533,0
19.9,81,68.2,21,8637,8637,12.4,55.6,24800,-1
14.4,111,78.0,21,309888,309888,32.3,61.6,764378,1
14.9,123,74.5,21,5470,5470,12.2,54.1,14102,-1
29.9,141,59.8,21,10780,10780,14.8,50.5,26847,0
24.2,161,67.2,21,6737,6737,18.5,52.1,17167,-1
13.4,9,77.0,23,23674,23674,32.4,57.5,54468,-1
13.8,19,77.7,23,61848,61848,26.2,57.0,152284,-1
9.1,5,84.6,23,118807,118807,45.0,65.6,289173,1
18.9,21,67.3,23,7477,7477,17.8,45.3,16960,-1
11.7,13,78.7,23,17022,17022,30.5,58.8,39700,1
11.6,23,79.6,23,15810,15810,34.5,62.8,35149,1
11.0,31,82.3,23,83324,83324,30.9,63.1,201454,1
14.2,11,77.9,23,51055,51055,26.7,58.3,121289,-1
13.6,7,76.5,23,11577,11577,26.1,57.1,30177,-1
18.8,25,71.6,23,21392,21392,16.6,52.7,50994,-1
17.2,17,72.4,23,20756,20756,18.8,53.8,57230,-1
13.4,1,78.0,23,45263,45263,22.1,62.1,107317,-1
11.0,15,77.2,23,15241,15241,33.1,57.3,34021,1
13.5,27,77.4,23,16954,16954,30.3,57.3,39280,1
20.2,3,69.2,23,29844,29844,18.5,52.4,68840,-1
19.5,29,70.6,23,14017,14017,20.9,48.5,31822,-1
7.2,3,88.3,24,205395,205395,40.1,64.4,564600,1
10.6,5,83.6,24,312859,312859,37.8,62.8,828637,1
8.9,21,86.0,24,90022,90022,40.5,66.9,246105,1
7.1,9,88.5,24,31462,31462,30.1,63.7,90824,-1
19.5,23,70.6,24,11865,11865,19.6,56.5,29516,-1
18.3,29,73.1,24,7605,7605,33.2,54.4,19666,-1
4.9,31,90.0,24,369242,369242,58.3,67.4,1039198,-1
9.9,13,84.3,24,60432,60432,34.6,65.4,167319,1
9.4,35,85.2,24,17995,17995,35.3,64.6,49071,1
12.5,37,79.5,24,39276,39276,30.4,62.4,110979,1
10.0,17,85.1,24,54988,54988,28.5,64.1,156021,1
18.0,19,71.9,24,12940,12940,20.1,57.9,32386,-1
17.0,43,73.5,24,55999,55999,21.5,56.1,149546,-1
11.9,45,76.3,24,37415,37415,27.8,60.7,102014,-1
13.2,15,78.7,24,37076,37076,23.0,62.4,102416,-1
17.6,11,73.6,24,11996,11996,16.6,60.6,32785,1
14.3,47,77.9,24,21190,21190,30.1,54.9,51559,-1
18.2,510,70.1,24,239791,239791,30.4,55.3,619796,-1
19.3,39,64.8,24,8362,8362,14.4,39.1,25801,0
12.4,41,80.1,24,16498,16498,37.4,57.0,37461,-1
9.0,25,85.8,24,92895,92895,35.2,64.4,250132,1
21.6,1,71.0,24,27759,27759,18.2,46.9,72591,-1
3.8,27,92.9,24,111337,111337,61.2,68.4,312495,-1
7.8,33,83.6,24,306694,306694,31.9,65.9,905161,1
10.1,5,82.5,22,41884,41884,27.6,63.6,119129,1
12.2,55,80.7,22,89677,89677,31.8,63.6,238230,1
17.5,125,66.0,22,3947,3947,23.0,41.9,15376,-1
16.4,51,73.4,22,168786,168786,25.2,59.8,437038,-1
17.0,11,70.0,22,13327,13327,16.3,49.6,36598,-1
29.8,13,60.1,22,5840,5840,12.4,45.4,13806,0
15.2,15,68.2,22,48142,48142,25.7,56.1,125698,-1
18.1,23,66.5,22,2686,2686,12.0,56.5,6806,-1
23.6,37,57.5,22,6817,6817,12.1,42.6,19553,0
30.2,39,58.2,22,11928,11928,12.9,44.4,33750,0
20.5,45,68.7,22,26420,26420,12.7,53.9,73346,-1
15.3,61,77.0,22,17370,17370,36.2,54.3,47536,-1
19.3,87,68.8,22,14791,14791,12.1,54.1,45067,-1
29.3,91,49.3,22,3990,3990,11.2,43.6,10509,0
34.1,119,50.2,22,15854,15854,15.5,48.2,40043,0
15.1,121,72.6,22,9436,9436,20.1,61.6,25518,1
22.8,31,65.3,22,10331,10331,13.5,48.5,27164,0
21.8,47,65.7,22,11142,11142,15.0,47.7,33122,0
25.3,81,62.4,22,3374,3374,15.6,49.3,8723,0
33.7,27,45.6,22,5980,5980,14.0,38.8,16296,0
20.2,113,70.3,22,21721,21721,12.1,54.0,59841,-1
29.4,127,65.1,22,5382,5382,13.1,42.2,14631,0
13.7,33,77.4,22,167188,167188,34.5,60.8,446167,1
29.9,85,56.9,22,9174,9174,14.2,45.3,24145,0
21.9,3,65.5,22,7834,7834,13.1,41.8,25667,0
15.6,95,70.4,22,15421,15421,16.4,56.7,43565,-1
18.4,75,75.3,22,8759,8759,19.3,55.1,23394,-1
22.4,73,69.1,22,56799,56799,24.3,53.0,156433,-1
18.4,79,73.1,22,48032,48032,20.1,51.9,132080,-1
27.7,117,54.8,22,17542,17542,12.2,44.3,46449,0
26.9,97,64.4,22,30467,30467,13.5,48.3,83580,-1
15.8,105,73.0,22,47598,47598,19.9,55.6,128850,-1
23.2,1,66.6,22,22675,22675,12.2,52.3,62607,-1
22.1,101,66.8,22,20032,20032,10.6,51.1,52578,-1
41.8,123,45.8,22,4182,4182,12.0,42.8,11274,0
9.5,103,84.0,22,91353,91353,32.5,59.3,249201,1
32.3,111,52.6,22,7971,7971,12.8,46.5,22537,0
12.1,63,76.0,22,48675,48675,17.4,59.0,137096,-1
37.8,67,52.0,22,10077,10077,13.9,45.9,26290,0
33.1,69,54.9,22,14549,14549,19.4,42.2,39051,0
20.9,71,66.4,22,154895,154895,36.5,56.1,388182,-1
15.0,109,70.2,22,40177,40177,14.4,54.0,113067,-1
33.9,25,54.3,22,3747,3747,13.9,45.7,10044,0
15.7,19,71.1,22,77130,77130,21.7,58.4,198753,-1
35.0,41,45.1,22,7622,7622,11.4,46.7,20388,0
26.3,9,62.1,22,14961,14961,11.3,45.6,41095,0
23.7,7,67.3,22,8710,8710,10.3,51.1,22881,0
25.1,49,67.4,22,6032,6032,13.0,44.6,15952,0
23.8,77,63.2,22,8815,8815,15.8,53.2,22271,0
38.3,83,49.2,22,7500,7500,15.4,49.7,20619,0
18.3,99,68.8,22,19435,19435,14.2,57.1,53609,-1
15.4,115,71.5,22,17930,17930,17.7,43.8,51906,-1
26.3,59,65.0,22,5044,5044,12.2,41.0,14930,0
12.3,89,78.4,22,18925,18925,22.3,59.5,52728,-1
17.2,57,72.9,22,36153,36153,16.3,55.7,98112,-1
35.2,29,56.9,22,7440,7440,11.4,42.5,20211,0
50.0,107,44.0,22,1930,1930,9.7,40.1,4771,0
41.1,65,45.2,22,4073,4073,13.4,41.4,11616,0
23.6,53,64.5,22,11435,11435,15.8,50.2,31405,0
21.7,93,68.6,22,7887,7887,14.0,54.1,21485,-1
26.4,43,58.4,22,7271,7271,8.5,40.3,22305,0
34.3,21,58.8,22,3680,3680,12.4,43.6,10000,0
19.9,17,68.7,22,97283,97283,24.0,53.6,251069,-1
57.9,35,33.8,22,2417,2417,9.8,27.9,7318,-1
13.4,11,79.3,25,30512,30512,36.8,61.9,70926,-1
4.5,19,90.9,25,3761,3761,45.1,71.9,10912,-1
12.3,25,81.1,25,303676,303676,43.6,64.0,780685,1
9.5,1,84.2,25,95011,95011,41.7,56.4,213900,-1
9.4,7,77.7,25,6139,6139,46.3,63.8,17275,-1
8.9,17,87.1,25,593784,593784,54.1,66.4,1582857,-1
14.0,3,79.3,25,55063,55063,33.2,59.0,127751,-1
8.3,21,87.6,25,262324,262324,52.5,65.1,694389,1
11.3,27,82.7,25,305975,305975,35.3,62.4,818249,1
9.5,15,86.2,25,58782,58782,45.6,60.2,161197,-1
15.3,5,78.3,25,215903,215903,27.3,61.3,557016,-1
16.5,13,76.0,25,178931,178931,26.5,57.0,469188,-1
9.1,23,86.1,25,184195,184195,35.7,63.7,509114,1
11.5,9,83.0,25,291659,291659,38.8,63.3,775860,1
9.9,77,82.8,26,102362,102362,37.2,61.7,259830,1
12.2,87,77.8,26,33152,33152,18.4,53.9,88205,-1
19.0,145,72.9,26,78482,78482,21.1,52.5,193803,-1
15.3,107,72.1,26,15641,15641,21.7,50.5,43181,-1
21.7,35,64.4,26,12726,12726,12.1,43.5,30597,0
19.4,151,68.1,26,17121,17121,13.9,52.5,41535,-1
14.6,27,73.4,26,20686,20686,18.1,55.4,51397,-1
24.3,71,59.2,26,5315,5315,18.5,45.2,11291,0
15.0,155,75.7,26,27623,27623,16.2,55.3,68617,-1
25.7,131,59.2,26,2945,2945,17.4,37.2,6072,0
15.8,21,73.4,26,63035,63035,26.7,56.6,154948,-1
22.4,133,60.1,26,9010,9010,12.4,48.3,23221,0
21.5,13,70.7,26,3009,3009,15.5,34.4,8580,-1
17.2,17,75.5,26,44070,44070,19.0,53.8,105350,-1
22.7,83,63.0,26,1013,1013,25.1,47.2,2136,-1
10.6,73,71.5,26,24898,24898,29.4,56.7,70572,-1
13.3,19,78.4,26,6911,6911,28.6,52.5,17462,-1
18.6,143,72.8,26,11131,11131,14.2,36.8,23934,-1
25.3,153,65.1,26,3282,3282,15.2,39.7,8114,0
12.0,29,76.8,26,11234,11234,30.3,55.1,26160,-1
11.0,45,79.8,26,44323,44323,26.1,59.7,108586,-1
9.3,139,83.7,26,99721,99721,32.5,65.3,280243,1
16.7,157,71.1,26,21624,21624,13.8,52.6,53569,-1
16.4,163,69.4,26,673143,673143,22.8,52.0,1763822,-1
22.0,1,66.9,26,4979,4979,15.2,36.3,10413,0
13.3,9,73.7,26,9732,9732,26.9,50.6,23133,-1
20.2,129,67.3,26,9325,9325,11.8,44.1,20979,0
28.7,135,61.4,26,3728,3728,10.9,40.6,8304,0
13.1,115,78.6,26,58652,58652,18.6,57.2,149619,-1
21.3,59,67.9,26,17896,17896,16.8,52.4,45909,-1
18.1,165,68.3,26,13105,13105,17.6,53.1,32915,-1
17.1,61,73.2,26,13157,13157,32.9,51.0,36333,-1
7.6,93,84.5,26,70831,70831,34.7,62.9,186946,1
16.2,39,73.5,26,6025,6025,17.6,44.0,13821,-1
10.3,37,83.4,26,29163,29163,31.5,60.0,77321,1
18.4,43,74.2,26,11269,11269,25.5,52.5,25694,-1
19.6,69,72.9,26,11457,11457,16.6,41.3,25317,-1
28.3,85,58.1,26,4555,4555,11.4,35.3,11669,0
18.4,101,73.3,26,9810,9810,20.5,45.4,24432,-1
16.7,57,67.7,26,14736,14736,14.7,44.9,41319,-1
20.2,63,68.0,26,13880,13880,15.5,53.4,31750,-1
18.4,5,73.2,26,42556,42556,22.3,60.5,114145,-1
13.0,91,77.9,26,38115,38115,20.5,55.5,98585,-1
15.4,105,72.2,26,12186,12186,22.2,52.7,28800,-1
13.8,103,76.0,26,26199,26199,30.8,52.8,67145,-1
8.1,125,85.9,26,499617,499617,45.7,62.6,1241860,-1
17.3,113,69.7,26,5941,5941,13.4,52.1,14982,-1
17.1,149,71.9,26,23831,23831,15.4,58.2,60890,-1
13.5,137,76.6,26,9880,9880,22.0,55.3,24247,-1
16.8,25,72.8,26,53528,53528,21.0,54.5,134327,-1
22.8,3,69.6,26,3244,3244,17.8,39.6,9254,-1
15.6,121,74.4,26,65216,65216,18.6,53.6,172707,-1
13.5,147,78.7,26,64387,64387,18.0,55.9,159761,-1
18.9,31,69.7,26,11348,11348,19.5,48.3,25475,-1
26.3,95,63.9,26,2253,2253,15.1,37.7,6406,0
10.6,81,82.3,26,236929,236929,34.7,64.8,636376,1
17.8,127,67.0,26,10176,10176,18.1,51.2,26317,-1
18.3,41,73.0,26,15920,15920,20.7,52.9,36395,-1
24.1,53,60.3,26,6660,6660,18.4,44.2,15577,0
18.0,7,71.4,26,12789,12789,17.3,52.9,28730,-1
17.1,23,73.8,26,16415,16415,14.0,54.7,43543,-1
9.8,55,82.6,26,36519,36519,34.2,60.9,91222,1
13.7,47,77.6,26,14496,14496,32.9,59.7,32978,1
13.1,67,75.0,26,22625,22625,16.2,54.8,64147,-1
20.6,119,67.8,26,4074,4074,12.0,36.8,9290,-1
22.3,141,65.3,26,5929,5929,16.2,40.9,12854,0
25.9,51,60.8,26,10990,10990,13.6,42.1,25324,0
18.3,33,72.6,26,14004,14004,20.7,47.0,38023,-1
10.2,65,79.4,26,111894,111894,38.4,58.5,286185,-1
20.7,109,69.1,26,10593,10593,15.8,54.6,23389,-1
18.7,117,68.0,26,23556,23556,12.8,51.4,62956,-1
18.8,123,66.3,26,18772,18772,15.0,50.3,47899,-1
10.6,89,82.5,26,9022,9022,40.8,52.9,21564,-1
16.9,159,71.4,26,29151,29151,20.6,56.3,75190,-1
6.9,161,85.9,26,138947,138947,54.3,61.3,361509,-1
12.5,99,81.5,26,341532,341532,24.2,59.2,864019,-1
23.6,11,63.4,26,6663,6663,11.6,45.5,15238,0
13.5,15,77.3,26,23539,23539,19.5,58.5,59607,-1
17.8,79,67.5,26,7019,7019,12.5,49.3,17358,-1
13.4,111,78.2,26,33986,33986,34.1,56.2,83489,-1
13.9,75,75.4,26,61418,61418,21.1,52.5,158989,-1
