S2801_C02_011E,county,S2801_C02_012E,state,S2501_C02_001E,S1901_C01_001E,S1501_C02_015E,S2301_C03_001E,S0101_C01_001E,cluster
19.4,33,67.2,8,707,707,19.8,57.7,1736,-1
11.4,111,81.6,8,255,255,29.8,62.1,569,1
16.9,57,71.5,8,597,597,16.5,64.4,1372,1
5.4,69,87.3,8,130502,130502,45.9,63.6,330976,1
15.9,75,78.2,8,8151,8151,19.0,58.5,21885,-1
15.7,83,69.0,8,10520,10520,28.0,54.8,25770,-1
5.9,113,80.3,8,3301,3301,54.1,73.0,7804,-1
6.7,119,87.6,8,10076,10076,34.1,58.4,23769,-1
4.7,13,89.0,8,125026,125026,60.4,65.4,316782,-1
5.4,39,88.5,8,8866,8866,35.0,66.3,24553,1
10.8,95,79.0,8,1696,1696,21.6,62.9,4327,1
10.5,7,80.5,8,5553,5553,37.0,53.7,12592,-1
9.8,31,81.7,8,287262,287262,46.5,67.8,678467,1
16.5,61,77.1,8,576,576,21.0,60.4,1368,1
22.9,55,63.5,8,3173,3173,23.6,43.6,6498,-1
18.9,9,69.4,8,1603,1603,21.4,56.2,3581,-1
11.1,15,81.2,8,7900,7900,32.4,51.5,18818,-1
7.1,47,81.5,8,2603,2603,36.6,70.6,5793,1
17.5,63,73.6,8,2995,2995,15.8,58.3,7846,1
7.5,45,83.8,8,21055,21055,30.2,68.2,57945,1
8.3,51,81.3,8,6495,6495,53.7,68.9,16215,-1
6.5,59,87.6,8,227805,227805,43.1,66.2,564029,1
10.9,79,79.5,8,404,404,39.3,49.9,834,-1
14.3,9,79.4,9,327402,327402,34.6,60.2,862127,1
10.9,5,84.2,9,74605,74605,35.0,63.8,184454,1
12.8,3,81.1,9,348871,348871,37.4,61.1,897417,1
12.7,15,79.4,9,44529,44529,24.4,61.6,116674,-1
11.3,11,83.4,9,107193,107193,32.9,60.0,270772,1
10.7,7,84.1,9,66599,66599,40.8,64.3,164110,1
8.4,13,86.3,9,54878,54878,39.7,63.0,151596,1
9.3,1,86.0,9,337678,337678,46.5,62.9,947328,1
11.8,1,78.0,11,277985,277985,56.6,63.4,672391,-1
11.0,3,81.3,10,202654,202654,35.7,60.1,555036,1
13.7,5,76.5,10,86322,86322,25.1,52.8,215551,-1
10.7,1,81.5,10,63381,63381,23.5,57.1,173145,-1
21.8,41,62.9,12,6399,6399,12.4,45.2,17191,0
22.0,55,69.3,12,41350,41350,17.1,37.8,100177,-1
17.6,121,74.1,12,15291,15291,13.7,46.8,43814,-1
11.0,1,82.0,12,97485,97485,41.4,55.2,259865,-1
39.5,27,50.9,12,11744,11744,11.5,43.2,35675,0
25.7,13,61.1,12,4581,4581,9.6,40.2,14458,0
11.7,15,80.9,12,74884,74884,22.4,38.4,173236,-1
14.5,23,73.8,12,24722,24722,16.4,46.9,68484,-1
30.5,29,46.3,12,6431,6431,9.1,35.2,16323,0
10.5,85,81.9,12,63497,63497,32.3,48.6,155719,-1
24.1,107,64.0,12,27951,27951,12.5,42.8,72435,-1
11.0,115,81.9,12,177998,177998,33.9,45.5,404839,-1
27.3,125,60.3,12,3946,3946,8.3,29.8,15300,0
