0,1,S2801_C02_011E,county,S2801_C02_012E,state,S2501_C02_001E,S1901_C01_001E,S1501_C02_015E,S2301_C03_001E,S0101_C01_001E,cluster
5.923956,5.2410197,21.4,25,54.7,5,3292,3292,17.0,50.0,8332,-1
3.9820802,1.2283726,19.6,63,64.7,5,14288,14288,18.0,52.2,37097,-1
1.8614892,8.198537,29.4,67,57.9,5,6179,6179,9.2,39.9,17429,0
7.3005204,4.0958123,26.7,57,61.9,5,7930,7930,13.1,51.9,22154,0
2.2507443,6.3916264,23.7,135,58.9,5,7296,7296,10.5,42.5,17041,0
-0.8261382,8.605298,27.2,79,57.2,5,3928,3928,7.9,28.7,13885,-1
1.5238162,2.9742255,20.7,83,67.1,5,8269,8269,12.0,47.6,21802,0
3.7196503,8.044612,24.9,137,52.0,5,4910,4910,13.4,42.3,12443,0
2.5582907,-1.1476591,13.0,53,69.5,5,6851,6851,19.0,52.3,18076,-1
6.49941,1.7445072,20.8,1,60.7,5,7692,7692,14.1,53.7,18352,-1
2.5742471,4.56072,21.7,81,63.6,5,5300,5300,10.3,46.1,12494,0
8.198025,3.651795,26.8,37,62.7,5,6726,6726,13.8,53.3,17164,0
6.242891,7.540696,27.6,39,53.7,5,3144,3144,14.1,47.9,7585,0
-2.449474,-5.4506755,12.3,125,77.9,5,43314,43314,25.5,60.6,116252,-1
-2.6321807,-6.0731626,11.9,45,75.2,5,43835,43835,29.7,59.8,121282,-1
-0.42204595,1.9434633,18.7,5,70.3,5,18398,18398,18.4,45.9,41093,-1
4.680467,5.4968195,24.5,3,60.0,5,8182,8182,13.4,48.1,20771,0
6.4647045,4.506296,25.3,109,58.8,5,4313,4313,14.9,51.1,10893,0
5.726421,5.89292,21.0,69,54.5,5,27377,27377,16.8,47.3,71373,-1
-2.6861417,-5.5904765,12.4,31,77.9,5,39838,39838,26.5,59.3,104246,-1
-6.207566,-3.5813725,9.7,7,60.0,5,90906,90906,31.7,62.6,251823,-1
5.2747135,4.9891267,25.4,75,60.4,5,6584,6584,15.5,47.9,16777,0
2.6200542,-3.332338,15.5,55,72.4,5,16821,16821,16.1,55.0,44197,-1
-1.4376506,3.5622096,19.4,89,70.8,5,6663,6663,16.0,38.9,16374,-1
3.4093966,7.667774,28.3,97,57.4,5,3855,3855,12.3,43.3,9059,0
3.9714687,10.723173,35.9,73,52.2,5,2860,2860,15.0,44.3,7051,0
3.1932003,3.7485738,20.7,105,63.0,5,3692,3692,12.9,47.8,10320,0
4.758699,8.562609,31.3,107,56.2,5,7823,7823,11.3,44.9,19518,0
5.7565455,7.383099,27.1,127,54.0,5,3972,3972,10.2,48.9,10584,0
5.7355137,7.019263,27.2,129,55.9,5,3336,3336,13.1,47.4,7925,0
4.012645,3.2775009,23.3,111,65.2,5,9483,9483,9.8,50.0,24098,0
6.5395017,0.0014562918,22.7,133,66.6,5,5984,5984,10.6,56.5,17206,-1
6.2659535,10.510658,33.1,95,48.0,5,3328,3328,9.3,48.6,7420,0
3.086159,9.972517,31.8,123,48.9,5,9325,9325,9.5,40.5,26688,0
2.6779099,8.13374,29.0,17,57.2,5,4323,4323,13.2,41.3,11008,0
3.432086,2.6651175,19.1,59,64.0,5,12291,12291,13.8,49.2,33480,-1
2.7895663,5.2903066,22.7,113,61.3,5,8058,8058,12.5,44.9,20212,0
6.169258,6.0360985,25.8,29,55.2,5,8185,8185,15.8,50.7,20954,0
-7.161535,-1.6969819,15.8,119,73.6,5,155435,155435,33.7,58.8,392848,-1
2.169483,-0.7811245,17.1,145,69.9,5,29217,29217,20.8,52.0,78706,-1
6.998311,1.7806071,23.0,61,61.4,5,5042,5042,15.3,54.0,13472,0
-1.2156794,-1.0414441,15.7,51,73.5,5,40062,40062,20.1,49.6,97994,-1
5.551672,3.596977,22.1,93,61.2,5,17238,17238,12.2,51.6,43534,-1
0.7652,-5.5661755,14.2,85,75.1,5,26281,26281,20.1,59.5,71568,-1
7.589573,3.9381156,27.1,149,61.8,5,7555,7555,13.7,52.4,21601,0
-0.8778786,-2.3027415,19.5,131,69.1,5,50301,50301,19.0,55.5,127362,-1
3.3161778,-0.41584697,18.2,33,69.2,5,23870,23870,14.5,53.2,62119,-1
6.5767536,3.513026,24.6,71,60.4,5,9900,9900,15.7,51.3,26155,0
2.6801429,11.148474,33.1,77,46.5,5,3541,3541,8.4,35.3,9614,0
6.2655983,4.113574,25.4,87,61.1,5,6190,6190,11.6,51.6,15907,0
5.0759907,9.566859,33.7,103,54.6,5,10016,10016,15.3,47.9,24378,0
5.7028947,6.8518414,28.2,101,57.4,5,3152,3152,15.7,47.9,7898,0
5.033196,11.051987,36.3,99,49.7,5,3452,3452,17.0,48.7,8528,0
6.4522886,5.1995945,26.7,21,60.0,5,6428,6428,10.7,51.0,15190,0
5.935522,9.076764,26.9,41,47.2,5,5230,5230,12.6,47.1,12094,0
4.4286647,1.1146832,19.6,15,64.5,5,10832,10832,19.3,51.3,27782,-1
4.8595266,1.8681306,21.7,43,64.6,5,7038,7038,18.5,50.6,18620,-1
6.086843,3.8625345,27.2,27,59.2,5,9337,9337,21.5,50.2,23992,-1
4.1549187,4.7010064,25.6,121,63.5,5,7339,7339,14.5,47.3,17514,0
3.0077662,-1.4015877,16.8,115,68.7,5,23147,23147,22.2,53.5,63372,-1
6.513861,8.530711,27.5,117,49.4,5,3920,3920,13.8,50.6,8309,0
2.529355,-1.2711343,17.2,91,71.6,5,17020,17020,15.8,53.3,43760,-1
6.2457604,6.230207,26.7,13,55.7,5,2061,2061,12.3,51.5,5194,0
6.4225016,0.8412416,23.4,19,61.8,5,8820,8820,26.4,54.9,22495,-1
6.04906,7.065324,27.6,11,56.2,5,4566,4566,14.4,47.7,10994,0
1.1043836,5.934636,18.3,49,60.5,5,5117,5117,12.1,41.6,12092,-1
-7.524195,0.07727939,13.6,77,78.3,6,223808,223808,18.1,54.2,724153,-1
-2.52493,-0.9527594,13.2,5,80.1,6,14185,14185,22.1,41.6,37306,-1
-3.37213,-0.8426355,13.2,47,76.1,6,79261,79261,13.8,50.4,267390,-1
-0.4648954,2.0822015,18.7,33,71.6,6,26327,26327,15.3,43.2,64095,-1
-0.7746985,-0.7067486,17.1,43,73.3,6,7434,7434,24.4,46.4,17658,-1
0.55159026,4.5955954,24.6,49,68.9,6,3638,3638,16.6,43.0,9017,-1
-1.4812869,-1.6920098,10.5,115,80.6,6,25880,25880,16.4,49.8,74644,-1
-11.403838,0.8420092,6.6,13,88.6,6,389597,389597,40.7,60.0,1123678,1
-0.42649284,-5.1568794,12.6,27,76.1,6,8026,8026,25.3,55.5,18195,-1
-2.0575824,2.762075,17.6,35,74.5,6,9441,9441,12.4,33.6,31470,-1
-7.0128055,-0.5092597,12.5,99,79.8,6,171324,171324,16.7,54.2,535684,-1
-7.579368,-2.8910763,10.6,83,83.1,6,144015,144015,33.3,59.7,442996,1
-2.97035,-1.685333,14.4,89,76.2,6,70486,70486,21.4,49.9,178919,-1
-7.886537,-2.667448,8.4,95,86.6,6,147352,147352,25.6,56.5,434981,-1
-1.8003888,2.2327828,15.0,15,73.6,6,9683,9683,14.4,39.4,27442,-1
3.6063004,-4.3374486,17.7,11,75.4,6,7047,7047,15.7,58.6,21479,-1
4.0139627,2.6800997,19.4,21,64.8,6,9936,9936,13.0,50.4,27935,-1
-4.4953876,-2.669093,10.8,7,81.8,6,86167,86167,26.6,50.5,225207,-1
-1.6882638,0.18721849,14.5,31,74.4,6,42349,42349,13.0,46.9,150183,-1
-0.67464995,-0.019517217,17.4,63,72.2,6,8287,8287,22.6,45.3,18724,-1
-6.699811,-4.4372764,8.2,79,85.8,6,105044,105044,34.0,55.0,280119,-1
