"S0101_C01_001E","S1901_C01_012E","S2801_C02_011E","S2301_C04_001E","S0801_C01_046E","state","county"
28123,51456,16.9,4.5,17.6,"08","087"
16900,61644,8.8,4.6,40.9,"08","093"
6338,34765,17,7.7,18.8,"08","109"
148798,51971,10.7,8,20.2,"08","077"
12084,41740,18.4,8.4,13.8,"08","099"
820,53056,10.3,4.1,12.3,"08","053"
674826,62535,6.8,6.8,23,"08","041"
4809,51458,15.4,4.2,24,"08","121"
14793,66489,10,4.6,22.2,"08","049"
626612,69553,6,5.2,27.7,"08","005"
18325,35051,17.1,9.3,16.2,"08","089"
64283,85639,3.9,4,27.9,"08","014"
4653,61333,7.7,5.9,26.8,"08","091"
6557,57991,15.5,6.3,17.3,"08","103"
2357,49583,20.2,6.8,20.6,"08","115"
285729,66489,9.3,5.3,26.7,"08","123"
8147,35657,30.9,9.4,21.6,"08","021"
4505,41330,10.9,8.7,27.1,"08","027"
3628,29000,38.1,9.1,18.1,"08","023"
487850,64087,8.8,5.1,29.2,"08","001"
320940,111154,2.2,3.3,27.6,"08","035"
53726,83803,4.6,2.7,22.3,"08","037"
7481,46176,13,5.7,28.6,"08","065"
54469,62533,10.2,4.4,21.4,"08","067"
13056,53010,14,3.6,22,"08","081"
17747,67755,5.3,4.3,17.5,"08","097"
11430,38534,25.4,8.8,17.4,"08","105"
2127,54907,16.8,8.1,12.6,"08","017"
5806,32500,20.1,9.3,20.1,"08","011"
5514,35292,15.3,21.4,23.1,"08","025"
1736,40352,19.4,0.4,19.2,"08","033"
569,46397,11.4,9.8,12.3,"08","111"
1372,45994,16.9,1.8,28.9,"08","057"
330976,64980,5.4,5.3,22.8,"08","069"
21885,44876,15.9,6.2,19.2,"08","075"
25770,45645,15.7,5.9,22,"08","083"
7804,62243,5.9,3.8,19.1,"08","113"
23769,66809,6.7,6.7,32.6,"08","119"
316782,75669,4.7,5.2,22.7,"08","013"
24553,92849,5.4,3.6,40.4,"08","039"
4327,50076,10.8,2,15.8,"08","095"
12592,48016,10.5,5.4,17.2,"08","007"
678467,60098,9.8,4.5,25.3,"08","031"
1368,39250,16.5,3.1,16.3,"08","061"
6498,35801,22.9,7.9,20.8,"08","055"
3581,35898,18.9,4.5,14.5,"08","009"
18818,53762,11.1,2.5,17.5,"08","015"
5793,72544,7.1,3.3,36.6,"08","047"
7846,45881,17.5,5.3,12.1,"08","063"
57945,66503,7.5,5.4,31.6,"08","045"
16215,52651,8.3,7.3,14.2,"08","051"
564029,75170,6.5,4.3,27.5,"08","059"
