"population","median_income","state","county"
7790,50300,"20","043"
2946,50229,"20","047"
163227,42783,"20","209"
20501,41101,"20","021"
66260,62324,"20","015"
2581,39405,"20","049"
3001,48412,"20","135"
1210,47045,"20","071"
8328,58662,"20","031"
4890,38860,"21","039"
10695,43345,"21","041"
10208,31130,"21","053"
14382,30692,"21","065"
8652,50250,"21","077"
17226,47906,"21","079"
36012,47517,"21","089"
21378,47574,"21","167"
14530,49706,"21","191"
2161,30694,"21","201"
17731,34660,"21","207"
18012,68916,"21","215"
11999,47843,"21","229"
12189,38763,"21","011"
8152,42988,"21","007"
43418,39658,"21","009"
29773,43076,"21","021"
11044,37388,"21","087"
8700,49135,"21","091"
27548,24451,"21","095"
12175,29239,"21","159"
107699,51923,"21","093"
24413,37930,"21","137"
9361,44242,"21","149"
10645,35665,"21","171"
24062,41470,"21","183"
12349,34647,"21","197"
14915,42139,"21","225"
13180,39273,"21","233"
12747,46182,"21","033"
38616,39269,"21","035"
15805,33031,"21","045"
72438,41849,"21","047"
27550,42172,"21","173"
99258,48371,"21","059"
26129,35944,"21","085"
46252,43458,"21","101"
15677,50787,"21","103"
45985,44048,"21","107"
13369,32055,"21","109"
59901,37235,"21","125"
31177,49126,"21","157"
28452,53732,"21","163"
7061,38900,"21","181"
64633,92237,"21","185"
10686,44031,"21","187"
16815,35888,"21","203"
52322,65598,"21","209"
123824,49508,"21","227"
20628,40598,"21","003"
20017,47886,"21","017"
48486,45543,"21","019"
78622,59917,"21","029"
9154,41114,"21","055"
315109,53013,"21","067"
6259,28274,"21","075"
23064,35629,"21","115"
15690,30503,"21","119"
6381,39688,"21","165"
13281,33523,"21","175"
31153,40037,"21","177"
27329,31820,"21","193"
63974,35022,"21","199"
7251,21999,"21","237"
20866,24596,"21","051"
19304,36575,"21","001"
27469,23558,"21","013"
13276,25861,"21","025"
6744,35449,"21","057"
37259,40369,"21","083"
18531,37315,"21","099"
6717,23297,"21","129"
12735,39362,"21","031"
19335,40005,"21","155"
14286,47259,"21","221"
25817,60604,"21","239"
127682,72731,"21","015"
10648,27861,"21","131"
51667,55450,"21","113"
31424,26061,"21","121"
15844,32703,"21","127"
8697,50998,"21","223"
12063,41114,"21","061"
18630,44620,"21","097"
4625,38036,"21","105"
8330,40458,"21","023"
8268,50268,"21","143"
45131,55182,"21","179"
20692,33715,"21","231"
13565,32054,"21","135"
23011,30293,"21","133"
9288,43472,"21","139"
65285,42894,"21","145"
61586,32972,"21","195"
45831,63171,"21","211"
36027,34103,"21","235"
22017,51681,"21","005"
19991,44057,"21","027"
37447,31196,"21","071"
49969,53539,"21","073"
163987,58674,"21","117"
17748,19264,"21","147"
88376,46674,"21","151"
12783,29578,"21","153"
9990,35594,"21","169"
4497,22736,"21","189"
24392,36411,"21","205"
17881,44989,"21","213"
25406,36455,"21","217"
35757,51547,"21","049"
12377,38248,"21","219"
14515,41095,"21","069"
91804,57208,"21","037"
27385,35095,"21","043"
7533,29043,"21","063"
24800,43881,"21","081"
764378,52237,"21","111"
14102,41720,"21","123"
26847,40982,"21","141"
17167,43082,"21","161"
54468,51438,"23","009"
152284,47886,"23","019"
289173,65702,"23","005"
16960,38797,"23","021"
39700,53117,"23","013"
35149,60457,"23","023"
201454,62618,"23","031"
121289,50116,"23","011"
30177,45541,"23","007"
50994,41549,"23","025"
57230,44582,"23","017"
107317,49538,"23","001"
34021,54041,"23","015"
39280,50162,"23","027"
68840,39021,"23","003"
31822,40328,"23","029"
564600,94502,"24","003"
828637,71810,"24","005"
246105,88502,"24","021"
90824,100350,"24","009"
29516,48174,"24","023"
19666,56638,"24","029"
1039198,103178,"24","031"
167319,90510,"24","013"
49071,89241,"24","035"
110979,86508,"24","037"
156021,93973,"24","017"
32386,50532,"24","019"
149546,58260,"24","043"
102014,54493,"24","045"
102416,70516,"24","015"
32785,52469,"24","011"
51559,59458,"24","047"
619796,46641,"24","510"
25801,39239,"24","039"
37461,65595,"24","041"
250132,83445,"24","025"
72591,42771,"24","001"
312495,115576,"24","027"
905161,78607,"24","033"
119129,74748,"22","005"
238230,53950,"22","055"
15376,55647,"22","125"
437038,50868,"22","051"
36598,47350,"22","011"
13806,34077,"22","013"
125698,52145,"22","015"
6806,60194,"22","023"
19553,46964,"22","037"
